Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Canada Goose - Branta canadensis,15,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
2,Mute Swan - Cygnus olor,6,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
3,Trumpeter Swan - Cygnus buccinator,14,Scarborough--Bluffers Park,CA-ON,10 Mar 2013,L450425,S13385729
4,Tundra Swan - Cygnus columbianus,1,Scarborough--Bluffers Park,CA-ON,10 Mar 2013,L450425,S13385729
5,Wood Duck - Aix sponsa,3,Toronto--High Park,CA-ON,30 Mar 2013,L11,S13570917
6,Gadwall - Anas strepera,30,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
7,American Wigeon - Anas americana,1,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
8,American Black Duck - Anas rubripes,4,Scarborough--Bluffers Park,CA-ON,10 Mar 2013,L450425,S13385729
9,Mallard - Anas platyrhynchos,30,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
10,Blue-winged Teal - Anas discors,3,Toronto--Colonel Samuel Smith Park,CA-ON,07 Apr 2013,L2044199,S13675658
11,Northern Shoveler - Anas clypeata,15,Hillman Marsh Conservation Area,CA-ON,20 Apr 2013,L2127185,S13823191
12,Green-winged Teal - Anas crecca,20,Hillman Marsh Conservation Area,CA-ON,20 Apr 2013,L2127185,S13823191
13,Redhead - Aythya americana,8,Toronto--Colonel Samuel Smith Park,CA-ON,07 Apr 2013,L2044199,S13675658
14,Ring-necked Duck - Aythya collaris,15,Toronto--Colonel Samuel Smith Park,CA-ON,07 Apr 2013,L2044199,S13675658
15,Greater Scaup - Aythya marila,8,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
16,Lesser Scaup - Aythya affinis,4,Toronto--Colonel Samuel Smith Park,CA-ON,07 Apr 2013,L2044199,S13675658
17,Harlequin Duck - Histrionicus histrionicus,1,Toronto--Colonel Samuel Smith Park,CA-ON,07 Apr 2013,L2044199,S13675658
18,Surf Scoter - Melanitta perspicillata,6,Point Pelee National Park (general location),CA-ON,21 Apr 2013,L131153,S13854775
19,White-winged Scoter - Melanitta fusca,6,Prince Edward Point National Wildlife Area,CA-ON,05 May 2013,L359367,S14000885
20,Long-tailed Duck - Clangula hyemalis,40,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
21,Bufflehead - Bucephala albeola,25,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
22,Common Goldeneye - Bucephala clangula,1,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
23,Hooded Merganser - Lophodytes cucullatus,1,Toronto--High Park,CA-ON,06 Apr 2013,L11,S13652506
24,Common Merganser - Mergus merganser,2,CA-ON-Kingston-28-116 Lakeshore Blvd,CA-ON,03 May 2013,L2150483,S13972411
25,Red-breasted Merganser - Mergus serrator,16,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
26,Ruddy Duck - Oxyura jamaicensis,6,Hillman Marsh Conservation Area,CA-ON,20 Apr 2013,L2127185,S13823191
27,Gray-headed Chachalaca - Ortalis cinereiceps,2,Villa Hermosa,CR-A,09 Feb 2013,L2132681,S13858218
28,Ring-necked Pheasant - Phasianus colchicus,1,Amherst Island,CA-ON,27 Dec 2013,L371369,S16096618
29,Ruffed Grouse - Bonasa umbellus,1,Carden Alvar--Wylie Road,CA-ON,04 Aug 2013,L879392,S14889053
30,Wild Turkey - Meleagris gallopavo,1,CA-ON-Chatham-Kent-20620-20908 Colby Rd,CA-ON,21 Apr 2013,L2128239,S13829458
31,Common Loon - Gavia immer,5,Prince Edward Point National Wildlife Area,CA-ON,05 May 2013,L359367,S14000885
32,Pied-billed Grebe - Podilymbus podiceps,2,"Leamington, 604-608 Bevel Line Road",CA-ON,20 Apr 2013,L2126285,S13817701
33,Horned Grebe - Podiceps auritus,1,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
34,Red-necked Grebe - Podiceps grisegena,1,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
35,Western Grebe - Aechmophorus occidentalis,1,Toronto--Colonel Samuel Smith Park,CA-ON,07 Apr 2013,L2044199,S13675658
36,Double-crested Cormorant - Phalacrocorax auritus,20,Toronto--Colonel Samuel Smith Park,CA-ON,07 Apr 2013,L2044199,S13675658
37,American Bittern - Botaurus lentiginosus,1,Prince Edward County--Kaiser Cross Road,CA-ON,05 May 2013,L872987,S14000805
38,Great Blue Heron - Ardea herodias,2,"Leamington, 604-608 Bevel Line Road",CA-ON,20 Apr 2013,L2126285,S13817701
39,Great Egret - Ardea alba,1,Toronto--High Park,CA-ON,06 Apr 2013,L11,S13652506
40,Green Heron - Butorides virescens,1,Toronto--High Park,CA-ON,07 Sep 2013,L11,S15112554
41,Black-crowned Night-Heron - Nycticorax nycticorax,9,Toronto--High Park,CA-ON,07 Sep 2013,L11,S15112554
42,Boat-billed Heron - Cochlearius cochlearius,30,Proyecto Asis,CR-A,09 Feb 2013,L2132766,S13858204
43,Black Vulture - Coragyps atratus,1,Villa Hermosa,CR-A,10 Feb 2013,L2132681,S13858315
44,Turkey Vulture - Cathartes aura,1,Villa Hermosa,CR-A,10 Feb 2013,L2132681,S13858315
45,Osprey - Pandion haliaetus,1,Point Pelee National Park (general location),CA-ON,21 Apr 2013,L131153,S13854775
46,Swallow-tailed Kite - Elanoides forficatus,1,Sky Trek,CR-A,11 Feb 2013,L2132791,S13858335
47,Northern Harrier - Circus cyaneus,1,Kingston--Lemoine Point CA,CA-ON,04 May 2013,L298965,S13984785
48,Cooper's Hawk - Accipiter cooperii,1,Mississauga--Rattray Marsh,CA-ON,13 Apr 2014,L160823,S17873146
49,Broad-winged Hawk - Buteo platypterus,1,Prince Edward Point National Wildlife Area,CA-ON,05 May 2013,L359367,S14000885
50,Red-tailed Hawk - Buteo jamaicensis,1,"CA-ON-Chatham-Kent - 42.4654x-81.9368 - Apr 20, 2013, 12:12",CA-ON,20 Apr 2013,L2125782,S13813965
51,American Coot - Fulica americana,4,Toronto--Colonel Samuel Smith Park,CA-ON,07 Apr 2013,L2044199,S13675658
52,Black-bellied Plover - Pluvialis squatarola,1,Prince Edward County--Kaiser Cross Road,CA-ON,05 May 2013,L872987,S14000805
53,Semipalmated Plover - Charadrius semipalmatus,1,Mississauga--Rattray Marsh,CA-ON,25 Aug 2013,L160823,S15019688
54,Killdeer - Charadrius vociferus,1,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
55,Spotted Sandpiper - Actitis macularius,1,Toronto--High Park,CA-ON,05 Aug 2013,L11,S14956130
56,Greater Yellowlegs - Tringa melanoleuca,3,Hillman Marsh Conservation Area,CA-ON,20 Apr 2013,L2127185,S13823191
57,Lesser Yellowlegs - Tringa flavipes,5,Prince Edward County--Kaiser Cross Road,CA-ON,05 May 2013,L872987,S14000805
58,Upland Sandpiper - Bartramia longicauda,1,Carden Alvar--Wylie Road,CA-ON,04 Aug 2013,L879392,S14889053
59,Dunlin - Calidris alpina,20,Hillman Marsh Conservation Area,CA-ON,20 Apr 2013,L2127185,S13823191
60,Least Sandpiper - Calidris minutilla,3,Prince Edward County--Kaiser Cross Road,CA-ON,05 May 2013,L872987,S14000805
61,Bonaparte's Gull - Chroicocephalus philadelphia,3,Toronto--Colonel Samuel Smith Park,CA-ON,07 Apr 2013,L2044199,S13675658
62,Heermann's Gull - Larus heermanni,1,South Beach--shoreline,US-CA,15 Nov 2013,L762572,S15717116
63,Ring-billed Gull - Larus delawarensis,10,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
64,Western Gull - Larus occidentalis,1,Presidio,US-CA,16 Apr 2013,L291975,S13773100
65,Herring Gull - Larus argentatus,2,"Leamington, 604-608 Bevel Line Road",CA-ON,20 Apr 2013,L2126285,S13817701
66,Glaucous Gull - Larus hyperboreus,1,Toronto--Colonel Samuel Smith Park,CA-ON,07 Apr 2013,L2044199,S13675658
67,Caspian Tern - Hydroprogne caspia,1,Point Pelee National Park (general location),CA-ON,21 Apr 2013,L131153,S13854775
68,Common Tern - Sterna hirundo,12,Mississauga--Rattray Marsh,CA-ON,01 Jul 2013,L160823,S14545416
69,Rock Pigeon - Columba livia,1,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
70,Mourning Dove - Zenaida macroura,2,Toronto--Humber Bay Park (East),CA-ON,10 Mar 2013,L2054714,S13385732
71,Ruddy Ground-Dove - Columbina talpacoti,1,Villa Hermosa,CR-A,07 Feb 2013,L2132681,S13857942
72,Great Horned Owl - Bubo virginianus,2,Toronto--High Park,CA-ON,06 May 2013,L11,S14018420
73,Snowy Owl - Bubo scandiacus,1,Toronto--Downsview Park,CA-ON,23 Dec 2013,L1437376,S16068956
74,Common Nighthawk - Chordeiles minor,25,Toronto--High Park,CA-ON,28 Aug 2013,L11,S15036714
75,Chimney Swift - Chaetura pelagica,2,Toronto--High Park,CA-ON,11 May 2013,L11,S14070458
76,Ruby-throated Hummingbird - Archilochus colubris,3,Mississauga--Rattray Marsh,CA-ON,25 Aug 2013,L160823,S15019688
77,Stripe-tailed Hummingbird - Eupherusa eximia,1,Villa Hermosa,CR-A,12 Feb 2013,L2132681,S13858363
78,Rufous-tailed Hummingbird - Amazilia tzacatl,3,Villa Hermosa,CR-A,07 Feb 2013,L2132681,S13857942
79,Belted Kingfisher - Megaceryle alcyon,3,Prince Edward Point National Wildlife Area,CA-ON,05 May 2013,L359367,S14000885
80,Black-cheeked Woodpecker - Melanerpes pucherani,1,Villa Hermosa,CR-A,07 Feb 2013,L2132681,S13857942
81,Red-bellied Woodpecker - Melanerpes carolinus,2,Prince Edward Point National Wildlife Area,CA-ON,05 May 2013,L359367,S14000885
